               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.023253,           0.0085597,           0.0010756,             0.89474,             0.89445,             0.93726,             0.69328,            0.024802,           0.0060844,           0.0040045,            0.009439,            0.009439,            0.009439
                  36,            0.023823,           0.0086569,          0.00092961,             0.87421,             0.91093,             0.93444,             0.70179,            0.024826,            0.006175,           0.0040207,           0.0094225,           0.0094225,           0.0094225
                  37,            0.022804,           0.0085596,           0.0009098,             0.91984,             0.90044,             0.91854,              0.6691,            0.024818,           0.0065041,           0.0049009,            0.009406,            0.009406,            0.009406
                  38,              0.0234,           0.0087804,          0.00092973,              0.8937,             0.90295,             0.92503,             0.68778,              0.0253,            0.006464,           0.0040216,           0.0093895,           0.0093895,           0.0093895
                  39,            0.023417,           0.0088093,           0.0010893,             0.91065,             0.89358,             0.92622,             0.69198,            0.024068,           0.0063496,           0.0041018,            0.009373,            0.009373,            0.009373
                  40,            0.023503,           0.0089117,          0.00081941,             0.91596,             0.90058,             0.92702,             0.69619,            0.023794,           0.0062943,            0.003602,           0.0093565,           0.0093565,           0.0093565
                  41,             0.02287,           0.0085582,          0.00095375,             0.89221,             0.91506,             0.92081,             0.69374,            0.024974,           0.0063629,           0.0036621,             0.00934,             0.00934,             0.00934
                  42,            0.022998,           0.0088696,          0.00090953,             0.91443,             0.89459,             0.92858,             0.71777,            0.023734,           0.0061026,           0.0039291,           0.0093235,           0.0093235,           0.0093235
                  43,            0.022963,           0.0087685,           0.0010927,             0.93322,             0.87896,             0.92761,             0.69285,            0.024665,           0.0065918,           0.0042906,            0.009307,            0.009307,            0.009307
                  44,            0.022944,           0.0086131,           0.0010102,             0.91986,             0.89056,             0.92356,             0.71152,            0.024019,           0.0066996,           0.0039196,           0.0092905,           0.0092905,           0.0092905
                  45,            0.022799,            0.008728,           0.0011314,             0.87719,             0.90093,             0.91058,              0.6931,            0.023717,            0.006484,           0.0038786,            0.009274,            0.009274,            0.009274
                  46,            0.022787,            0.008483,          0.00086402,             0.89542,             0.87628,             0.90237,             0.66222,            0.025611,           0.0065689,           0.0043688,           0.0092575,           0.0092575,           0.0092575
                  47,            0.023276,           0.0092346,          0.00096839,               0.941,             0.85947,             0.90656,             0.68181,            0.025015,           0.0064983,           0.0038137,            0.009241,            0.009241,            0.009241
                  48,            0.023272,           0.0086198,            0.001036,             0.91309,             0.89869,             0.92191,             0.69136,            0.023734,            0.006588,           0.0036964,           0.0092245,           0.0092245,           0.0092245
                  49,            0.022606,           0.0089416,          0.00099924,             0.90586,             0.89918,             0.91904,             0.68451,            0.025394,           0.0066481,           0.0040693,            0.009208,            0.009208,            0.009208
                  50,            0.022469,           0.0086072,          0.00090567,             0.91309,             0.89519,             0.91123,             0.69729,            0.024634,           0.0065603,           0.0050602,           0.0091915,           0.0091915,           0.0091915
                  51,            0.023178,           0.0088407,           0.0011026,             0.90624,             0.89672,             0.91147,             0.71421,            0.023405,           0.0064411,           0.0052071,            0.009175,            0.009175,            0.009175
                  52,            0.022562,            0.008668,           0.0009255,             0.90926,             0.89069,             0.91425,             0.70207,            0.023972,            0.006341,           0.0053854,           0.0091585,           0.0091585,           0.0091585
                  53,            0.022043,           0.0083612,          0.00090582,             0.92005,             0.89074,             0.91838,             0.69159,            0.023715,            0.006218,           0.0053482,            0.009142,            0.009142,            0.009142
                  54,            0.022442,            0.008605,           0.0010779,             0.91912,             0.89855,             0.92079,             0.71458,            0.023046,           0.0061693,           0.0054035,           0.0091255,           0.0091255,           0.0091255
                  55,            0.022649,           0.0088011,          0.00097097,             0.89795,             0.88785,             0.91902,             0.69051,            0.023672,             0.00669,           0.0064068,            0.009109,            0.009109,            0.009109
                  56,             0.02235,            0.008764,           0.0008802,             0.91899,             0.89845,             0.93128,             0.70978,            0.024379,           0.0062218,           0.0052814,           0.0090925,           0.0090925,           0.0090925
                  57,            0.021754,           0.0086579,          0.00089893,             0.90876,             0.89438,              0.9229,             0.71173,            0.023784,           0.0064507,           0.0051432,            0.009076,            0.009076,            0.009076
                  58,            0.022091,           0.0085762,           0.0010779,             0.92271,             0.88815,              0.9175,             0.69604,            0.023005,           0.0064135,           0.0049038,           0.0090595,           0.0090595,           0.0090595
                  59,            0.022229,           0.0082387,          0.00094521,             0.91745,             0.87233,             0.91174,             0.68667,            0.024621,           0.0068722,           0.0056162,            0.009043,            0.009043,            0.009043
                  60,            0.022817,           0.0086442,          0.00090625,             0.91627,             0.89917,             0.91397,             0.70812,            0.023028,           0.0061617,           0.0046988,           0.0090265,           0.0090265,           0.0090265
                  61,            0.022384,           0.0085867,           0.0012857,             0.91257,              0.9075,             0.91468,              0.6988,            0.024219,           0.0062208,           0.0047054,             0.00901,             0.00901,             0.00901
                  62,            0.022873,           0.0092234,           0.0011083,             0.91869,             0.88729,             0.91924,              0.7088,            0.023018,           0.0062571,           0.0049438,           0.0089935,           0.0089935,           0.0089935
                  63,            0.022535,           0.0086558,           0.0010959,             0.91695,             0.89273,             0.92464,             0.70602,            0.022893,           0.0063019,            0.004878,            0.008977,            0.008977,            0.008977
                  64,            0.022701,           0.0084882,          0.00099877,             0.90596,             0.89258,              0.9304,             0.70173,               0.024,           0.0062246,           0.0048971,           0.0089605,           0.0089605,           0.0089605
                  65,            0.022066,           0.0086262,            0.001024,             0.88739,             0.91608,             0.93014,             0.71966,            0.023305,           0.0061569,           0.0050335,            0.008944,            0.008944,            0.008944
                  66,            0.022504,           0.0086394,           0.0010778,             0.89092,             0.90351,              0.9276,             0.70903,            0.023228,           0.0061884,           0.0052433,           0.0089275,           0.0089275,           0.0089275
                  67,            0.022436,           0.0085579,          0.00090091,             0.91452,             0.87461,             0.90226,             0.69686,            0.023796,           0.0076008,           0.0054655,            0.008911,            0.008911,            0.008911
                  68,            0.021915,           0.0088543,           0.0010969,             0.91215,             0.89558,             0.91736,               0.706,            0.023377,           0.0067444,           0.0051088,           0.0088945,           0.0088945,           0.0088945
                  69,             0.02231,           0.0084914,           0.0010264,             0.90223,             0.89466,             0.91698,             0.69775,            0.023196,            0.006444,            0.004921,            0.008878,            0.008878,            0.008878
                  70,            0.022264,           0.0084539,           0.0011294,             0.91769,             0.87472,             0.92761,             0.72587,            0.024227,           0.0064039,           0.0048828,           0.0088615,           0.0088615,           0.0088615
                  71,            0.022236,           0.0087426,          0.00094239,             0.87946,             0.90666,              0.9215,             0.70794,            0.023071,           0.0061626,           0.0051804,            0.008845,            0.008845,            0.008845
                  72,            0.022142,           0.0088852,           0.0011386,             0.86802,             0.82937,             0.90082,             0.68568,            0.024455,           0.0084476,           0.0090408,           0.0088285,           0.0088285,           0.0088285
                  73,            0.021946,           0.0086513,          0.00086345,             0.90756,             0.87708,             0.93069,             0.70205,            0.023458,           0.0061312,           0.0048838,            0.008812,            0.008812,            0.008812
                  74,            0.022407,           0.0086002,           0.0010161,             0.91128,             0.87896,             0.93648,              0.7228,            0.023139,           0.0061007,           0.0048885,           0.0087955,           0.0087955,           0.0087955
                  75,            0.021696,           0.0085446,           0.0012282,              0.9433,             0.84672,             0.93419,              0.7171,            0.022951,           0.0062246,           0.0044708,            0.008779,            0.008779,            0.008779
                  76,            0.022066,           0.0089838,           0.0010801,             0.90423,             0.89211,             0.92368,             0.71916,            0.023128,           0.0063448,           0.0042181,           0.0087625,           0.0087625,           0.0087625
                  77,            0.021687,           0.0081459,           0.0010309,             0.90966,             0.87022,             0.91957,             0.71941,            0.023176,           0.0064993,           0.0045996,            0.008746,            0.008746,            0.008746
                  78,            0.021189,           0.0084018,          0.00096553,             0.91862,             0.85148,             0.92159,             0.70966,             0.02333,           0.0064936,           0.0047216,           0.0087295,           0.0087295,           0.0087295
                  79,            0.022279,           0.0086922,           0.0012481,             0.92284,             0.87016,             0.93001,             0.71465,            0.022711,           0.0063057,           0.0046701,            0.008713,            0.008713,            0.008713
                  80,            0.021776,           0.0085244,          0.00098009,             0.92456,             0.87185,             0.93821,             0.72255,             0.02293,           0.0060091,           0.0049877,           0.0086965,           0.0086965,           0.0086965
                  81,            0.022215,           0.0084164,           0.0011738,             0.92066,             0.89176,             0.93088,             0.71435,            0.023526,           0.0060329,           0.0049429,             0.00868,             0.00868,             0.00868
                  82,            0.022053,           0.0088658,           0.0013416,             0.89042,             0.88732,             0.92126,               0.709,            0.023753,           0.0064764,            0.004981,           0.0086635,           0.0086635,           0.0086635
                  83,            0.021581,           0.0080946,           0.0011941,             0.92821,             0.89796,             0.93557,             0.73126,            0.022179,           0.0060225,           0.0043726,            0.008647,            0.008647,            0.008647
                  84,            0.021647,           0.0087611,           0.0010195,             0.92476,             0.89436,             0.93002,             0.71501,            0.023156,           0.0062447,           0.0043478,           0.0086305,           0.0086305,           0.0086305
                  85,            0.021669,           0.0084847,          0.00096425,             0.93014,             0.89618,             0.93252,             0.71697,             0.02285,            0.006134,           0.0039415,            0.008614,            0.008614,            0.008614
                  86,            0.022075,           0.0090786,           0.0010375,             0.93378,             0.88535,             0.93055,             0.69801,            0.023636,           0.0062256,           0.0045338,           0.0085975,           0.0085975,           0.0085975
                  87,            0.021797,           0.0083514,            0.001656,             0.92379,             0.87739,             0.92914,             0.71922,            0.023046,           0.0063925,           0.0046577,            0.008581,            0.008581,            0.008581
                  88,            0.021428,           0.0084515,          0.00097624,             0.92489,             0.89586,             0.92777,             0.71447,            0.022905,           0.0063009,            0.003644,           0.0085645,           0.0085645,           0.0085645
                  89,            0.021709,            0.009051,          0.00093492,             0.91245,             0.90588,             0.92776,              0.7118,            0.022742,           0.0062532,           0.0033083,            0.008548,            0.008548,            0.008548
                  90,            0.022124,           0.0092094,           0.0013151,             0.92029,             0.86914,             0.91031,             0.70856,            0.023605,           0.0066919,           0.0045366,           0.0085315,           0.0085315,           0.0085315
                  91,            0.021272,           0.0086862,           0.0012379,             0.91419,             0.88735,             0.92288,             0.71728,            0.022833,           0.0060396,           0.0047274,            0.008515,            0.008515,            0.008515
                  92,            0.022029,           0.0084005,           0.0011303,             0.88973,             0.90242,             0.91721,             0.70517,            0.023922,           0.0063896,           0.0041447,           0.0084985,           0.0084985,           0.0084985
                  93,            0.021714,           0.0086857,           0.0011693,             0.91762,             0.90995,              0.9254,              0.7106,            0.023141,            0.006074,           0.0038242,            0.008482,            0.008482,            0.008482
                  94,            0.021603,           0.0088014,          0.00095052,             0.88779,             0.89901,             0.92268,             0.71367,            0.023415,           0.0060816,           0.0039835,           0.0084655,           0.0084655,           0.0084655
                  95,            0.021519,             0.00884,            0.001062,              0.9171,             0.88458,             0.91997,             0.70887,            0.022984,           0.0059071,           0.0040588,            0.008449,            0.008449,            0.008449
                  96,            0.021628,           0.0086871,           0.0011249,              0.9065,             0.90983,              0.9134,             0.70063,            0.023809,           0.0063467,           0.0042801,           0.0084325,           0.0084325,           0.0084325
                  97,            0.021674,           0.0087735,           0.0010766,             0.92023,             0.89865,             0.91523,               0.714,            0.023063,           0.0061436,           0.0043135,            0.008416,            0.008416,            0.008416
                  98,            0.021268,           0.0085813,          0.00096989,             0.91327,             0.89594,             0.91636,             0.70118,            0.023725,           0.0062027,           0.0044918,           0.0083995,           0.0083995,           0.0083995
                  99,            0.022002,           0.0088827,           0.0014072,             0.91281,             0.89598,             0.91674,              0.7254,            0.022618,           0.0063705,            0.004159,            0.008383,            0.008383,            0.008383
                 100,            0.021277,           0.0084279,           0.0011477,             0.91658,             0.90668,             0.93206,             0.71835,            0.024125,           0.0062799,           0.0041485,           0.0083665,           0.0083665,           0.0083665
                 101,            0.021549,           0.0085918,           0.0010999,             0.87107,               0.821,             0.87743,             0.66376,            0.024986,           0.0086603,           0.0047789,             0.00835,             0.00835,             0.00835
                 102,            0.021322,           0.0087678,           0.0012697,             0.91408,             0.90052,             0.92443,             0.71056,            0.023029,           0.0063419,            0.004982,           0.0083335,           0.0083335,           0.0083335
